Count of TOTAL_USER	Column Labels										
Row Labels	Adults	Elders	Kids	pensioners	Teenagers	Toddlers	Young_youth	Youth	 Total		
Africa Magic	237	99	8	8	17	12	107	341	829		
Boomerang	170	65	4	4	13	14	153	255	678		
Break in transmission	13	9		1	1	3	3	25	55		
Cartoon Network	170	43	2	8	27	18	221	277	766		
Channel O	198	58	9	6	28	26	258	417	1000		
CNN	177	100	2	11	7	10	37	140	484		
DStv Events 1	25	9	1		1	7	14	48	105		
E! Entertainment	72	25	1	3	5	14	77	166	363		
ICC Cricket World Cup 2011	307	124	30	12	18	41	177	510	1219		
kykNET	9	8		2		4	10	12	45		
Live on SuperSport	1	1							2		
MK	7	4	1			2	7	10	31		
M-Net	29	12	1	2	5	3	21	41	114		
SawSee	70	13	2	2	1	12	42	110	252		
SuperSport Blitz	269	102	8	17	18	28	124	293	859		
Supersport Live Events	365	160	10	20	20	32	238	593	1438		
Trace TV	146	41	2	6	25	17	273	387	897		
Vuzu	24	5		1	2	3	24	47	106		
Wimbledon	2								2		
 Total	2291	878	81	103	188	246	1786	3672	9245		
											
											
Count of TOTAL_USER	Column Labels										
Row Labels	female	male	None	 Total							
Africa Magic	169	647	13	829							
Boomerang	93	570	15	678							
Break in transmission	2	50	3	55							
Cartoon Network	111	637	18	766							
Channel O	104	870	26	1000							
CNN	36	438	10	484							
DStv Events 1	14	84	7	105							
E! Entertainment	55	294	14	363							
ICC Cricket World Cup 2011	71	1107	41	1219							
kykNET	1	40	4	45							
Live on SuperSport	1	1		2							
MK	5	24	2	31							
M-Net	10	101	3	114							
SawSee	24	216	12	252							
SuperSport Blitz	58	772	29	859							
Supersport Live Events	87	1319	32	1438							
Trace TV	118	763	16	897							
Vuzu	9	94	3	106							
Wimbledon		2		2							
 Total	968	8029	248	9245							
											
											
											
Row Labels	C. TOTAL_USER										
Adults	2303										
Elders	885										
Kids	83										
pensioners	105										
Teenagers	198										
Toddlers	250										
Young_youth	1799										
Youth	3688										
Grand Total	9311										
											
											
											
											
											
											
											
Count of TOTAL_USER	Column Labels										
Row Labels	female	male	None	Total							
Adults	223	2077	3	2303							
Elders	88	797		885							
Kids	21	62		83							
pensioners	13	92		105							
Teenagers	46	151	1	198							
Toddlers		2	247	249							
Young_youth	148	1651		1799							
Youth	451	3237		3688							
Total	990	8069	251	9310							
											
											
											
											
											
											
											
Count of TOTAL_USER	Column Labels										
Row Labels	Afternoon	Day_time	Early_Morning	Evening	Midnight	Morning	NIGHT	Tea_time	Total		
Adults	291	427	110	472	43	199	508	253	2303		
Elders	131	174	52	130	10	72	199	117	885		
Kids	14	17	2	24	1	4	14	7	83		
pensioners	11	24	4	23	1	11	21	10	105		
Teenagers	23	39	15	34	1	17	54	15	198		
Toddlers	28	39	13	51	6	21	55	37	250		
Young_youth	221	344	91	310	32	175	446	180	1799		
Youth	487	644	186	652	73	369	820	457	3688		
Total	1206	1708	473	1696	167	868	2117	1076	9311		
											
											
											
											
											
											
Count of TOTAL_USER	Column Labels										
Row Labels	Long	Normal	Short	Too_long	Total						
Adults	33	142	2109	19	2303						
Elders	8	58	805	14	885						
Kids	4	5	71	3	83						
pensioners	1	3	99	2	105						
Teenagers	1	6	181	10	198						
Toddlers	8	9	229	4	250						
Young_youth	9	113	1660	17	1799						
Youth	64	229	3357	38	3688						
Total	128	565	8511	107	9311						
											
											
											
											
											
											
											
Row Labels	TOTAL_USERS										
Eastern Cape	675										
Free State	292										
Gauteng	3237										
Kwazulu Natal	972										
Limpopo	723										
Mpumalanga	894										
None	251										
North West	341										
Northern Cape	229										
Western Cape	1696										
Total	9310										
											
											
											
											
Count of TOTAL_USER	Column Labels										
Row Labels	Sun	Mon	Tue	Wed	Thu	Fri	Sat	Total			
Africa Magic	138	78	116	127	115	130	125	829			
Boomerang	100	68	80	101	119	92	118	678			
Break in transmission	8	6	13	3	6	7	12	55			
Cartoon Network	110	69	119	102	107	123	136	766			
Channel O	141	110	132	157	144	166	150	1000			
CNN	76	57	62	69	71	78	71	484			
DStv Events 1	11	13	13	14	13	18	23	105			
E! Entertainment	57	41	38	47	51	57	72	363			
